Campaign Name,Status,Media Cost,3rd Party CPM Fees,3rd Party CPC Fees,Impressions,Clicks,MMP Installs,Convs,MMP Convs,eCPM,CTR,CVR,MMP CPI,eCPC,eCPA,eCPI,Labels,Secondary Conversions,Conversion Revenue,ROAS,Lifetime Budget,Daily Budget,Flight Date Start,Flight Date End,eCPE,Overall Pacing,Projected Daily Spend,MLOT,Daily Spend Needed,Spent Yesterday,Audio Completion Rate,eCPCL,Companion Banner Viewed,Goal Value,Goal Type,Bidding,Flight ID
BLS_Control_CSG_International_Display_BLS-BrandAwareness_2026-07-22,Live,"$1,173.47",$0.00,$0.00,"316,787",776,0,0,0,$3.70,0.25%,0.00%,n/a,$1.51,n/a,n/a,"",0,$0.00,0.00%,"$3,750.00",,2026/07/22,2026/08/10,n/a,100.00%,187.275931,$0.00,$187.46,$187.53,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$5.00 CPM,3601589
BLS_Exposed_CSG_International_Display_BLS-BrandAwareness_2026-07-22,Live,$889.85,$0.00,$0.00,"190,530",375,0,0,0,$4.67,0.20%,0.00%,n/a,$2.37,n/a,n/a,"",0,$0.00,0.00%,"$3,750.00",,2026/07/22,2026/08/10,n/a,83.37%,207.536864,$623.49,$207.95,$208.05,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$5.00 CPM,3601588
SA_296815_4088_8688889_Novartis_US Onco_People v Cancer_Q3_2026_PV,Live,$190.22,$0.00,$0.00,"74,225",40,0,0,0,$2.56,0.05%,0.00%,$0.00,$4.76,n/a,$0.00,"",0,$0.00,0.00%,$800.00,,2026/07/15,2026/09/08,n/a,99.57%,13.652418,$3.43,$14.21,$14.22,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$3.00 CPM,3597049
SA_DOOH_309517_4117_8746253_Zoetis_Opportunity_Purple Strategies_Q3_2026_VV,Live,$33.39,$0.00,$0.00,"3,435",0,0,0,0,$9.72,0.00%,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,"$1,400.00",,2026/07/15,2026/10/15,n/a,26.60%,42.672425,"$1,027.13",$17.21,$17.47,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$12.00 CPM,3593749
SA_CTV_309517_4117_8746252_Zoetis_Opportunity_Purple Strategies_Q3_2026_VV,Live,$33.39,$0.00,$0.00,"1,937",0,0,0,0,$17.24,0.00%,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$540.00,,2026/07/14,2026/10/15,n/a,99.85%,14.591072,$0.00,$6.36,$6.38,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$18.00 CPM,3592980
CSG_Australia_Display,Live,"$6,553.68",$0.00,$0.00,"1,317,286",494,0,139,0,$4.98,0.04%,28.14%,n/a,$13.27,$47.15,n/a,"",0,"$4,344.53",66.29%,,$200.00,2026/06/17,2026/08/07,n/a,,49.627608,$150.37,$200.00,$138.51,0.00%,$0.00,0,"CPA: $80.00, Scale (Budget Delivery): N/A","CPA, Scale (Budget Delivery)",$5.00 CPM,3489641
CSG_Canada_Display,Live,"$7,227.21",$0.00,$0.00,"609,060","1,836",0,67,0,$11.87,0.30%,3.65%,n/a,$3.94,$107.87,n/a,"",0,"$3,362.88",46.53%,,$200.00,2026/06/17,2026/08/07,n/a,,200.0,$0.00,$200.00,$200.09,0.00%,$0.00,0,"CPA: $80.00, Scale (Budget Delivery): N/A","CPA, Scale (Budget Delivery)",$12.00 CPM,3489626
test,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/07/14,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$15.00 CPM,3593068
SA_309517_4116_8746302_Zoetis_Purple Strategies_Q3_2026_PV,Draft,n/a,n/a,n/a,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"",0,n/a,n/a,$450.00,,2026/07/14,2026/07/20,n/a,,,n/a,N/A,$0.00,n/a,n/a,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$6.00 CPM,
Copy of SA_301139_4099_8716657_Rensselaer Polytechnic Institute_Q&A Article #2_Q2_2026_PV,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/05/27,2026/06/02,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$3.00 CPM,3439351
Copy of Copy of SA_301139_4094_8716656_Rensselaer Polytechnic Institute_Q&A Article #1_Q2_2026_PV,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$500.00,,2026/05/27,2026/06/30,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$3.00 CPM,3439350
Copy of Copy of SA_301139_4094_8716656_Rensselaer Polytechnic Institute_Q&A Article #1_Q2_2026_PV,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/05/27,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$4.00 CPM,3439349
Copy of SA_301139_4094_8716656_Rensselaer Polytechnic Institute_Q&A Article #1_Q2_2026_PV,Draft,n/a,n/a,n/a,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"",0,n/a,n/a,$500.00,,2026/05/27,2026/06/30,n/a,,,n/a,N/A,$0.00,n/a,n/a,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$3.00 CPM,
Copy of SA_301139_4094_8716656_Rensselaer Polytechnic Institute_Q&A Article #1_Q2_2026_PV,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/05/27,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$4.00 CPM,3438183
test,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/05/21,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$6.00 CPM,3426772
SA_297831_4085_Explore Minnesota_Custom Article #1_Q2_2026_PV,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/04/27,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$6.00 CPM,3340627
SA_296351_Waymo_Syndicated Article_Q2_2026_PV,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/04/23,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$35.00 CPM,3335921
XYZ,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/03/31,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$5.00 CPM,3259275
A,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/03/30,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$5.00 CPM,3247880
tktktktktktk,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/03/26,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$14.00 CPM,3232721
TKTKTK,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,$300.00,,2026/03/26,n/a,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$14.00 CPM,3232456
SA_290919_Deloitte Monitor Institute_Custom Content_Dec 25_PV,Draft,$0.00,$0.00,$0.00,0,0,0,0,0,n/a,n/a,n/a,$0.00,n/a,n/a,$0.00,"",0,$0.00,0.00%,"$4,410.00",,2025/12/15,2025/12/24,n/a,,,n/a,N/A,$0.00,0.00%,$0.00,0,Scale (Budget Delivery): N/A,Scale (Budget Delivery),$6.00 CPM,2883757
