Campaign Name,Campaign ID,Type,Spent,Impressions,Clicks,Conversions,Actual CPA,Conversion Rate,Actual CPC,Estimated Daily Cap,CTR,CPM,Value,ROAS,Pacing
251724_Deloitte Purpose Unfinished Business 2H_3949_PV_DSK,44152072,Native,854.99,"695,756","3,176",0,"'-",0%,0.269,0.00,0.46%,1.23,0.00,0%,
251724_Deloitte Purpose Unfinished Business 2H_3949_PV_MOB,43962507,Native,"2,857.12","2,241,858","13,444",5,571.425,0.04%,0.213,0.00,0.6%,1.27,0.00,0%,
255762_Explore Minnesota: Talent Retention & Attraction Continuation Campaign 24/25_3925_PV,44868514,Native,950.71,"1,028,173","10,794",0,"'-",0%,0.088,0.00,1.05%,0.92,0.00,0%,
259233_Genentech 2025 Events & Content_Q&A_4029_PV,47575360,Native,"1,499.28","576,312","9,278",0,"'-",0%,0.162,0.00,1.61%,2.60,0.00,0%,
265111_National Media/Johnson & Johnson Q2 2025 Partnership_3987_PV,45080919,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
269060_Ferrero 2025 Corporate Campaign_3993_PV,45218154,Native,803.70,"319,955","10,392",0,"'-",0%,0.077,0.00,3.25%,2.51,0.00,0%,
274334_Ad Council_Gun Violence Prevention_Q&A_Q2 2025,45356189,Native,"5,109.89","5,083,626","32,198",0,"'-",0%,0.159,0.00,0.63%,1.01,0.00,0%,
277786_Humana_TAF and Custom Content_Q4 2025_8563141_4026_PV,47420717,Native,806.56,"576,086","4,782",0,"'-",0%,0.169,0.00,0.83%,1.40,0.00,0%,
277786_Humana_TAF and Custom Content_Q4 2025_8563141_4031_PV,47475744,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
279782_Tab_AB_AAM 2025 Custom Event & Media_4031_PV,47240968,Native,"1,995.69","859,951","11,250",0,"'-",0%,0.177,0.00,1.31%,2.32,0.00,0%,
285125_Aflac Q&A Q3 2025 Content RFP_8554664_4021_PV,46790851,Native,"1,759.29","1,042,636","12,287",0,"'-",0%,0.143,0.00,1.18%,1.69,0.00,0%,
285960 | The Annie E. Casey Foundation - Sept-Nov 2025,46346133,Native,"1,241.33","2,176,183","13,890",0,"'-",0%,0.089,0.00,0.64%,0.57,0.00,0%,
287480_Washington University STL_Business of Health_Event_2025_8574442_4035_PV,47419000,Native,790.49,"629,166","5,325",0,"'-",0%,0.148,0.00,0.85%,1.26,0.00,0%,
291132_4073_Test_University of Michigan_Q2_2026_PV,49567001,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
8723246_Test_J&J,49899695,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
AB_259480_SMCH_Reputation Management RFP_FY25_3978_PV_MOB,44299478,Native,721.24,"364,287","3,775",0,"'-",0%,0.191,0.00,1.04%,1.98,0.00,0%,
API_TEST_DO_NOT_USE,49316900,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Atlantic Exchange Executive Q&A,49964256,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Atlantic Exchange Executive Q&A,49805635,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Atlantic Exchange Executive Q&A,49732941,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Atlantic Exchange Executive Q&A,49792652,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
AutoGen - Syndicated 2026 (AdBook Drop ID 8723246)_test_july27th,50022705,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Contentful_Research RFI_Q2-Q4 2025_283563,47335550,Native,"1,999.35","1,403,577","14,787",0,"'-",0%,0.135,0.00,1.05%,1.42,0.00,0%,
Copy of 285960 | The Annie E. Casey Foundation - Sept-Nov 2025,46361776,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Copy of TB_297839_686504_Seabourn_Conversations_Digital Experiential_Q2_2026_Imp,49418898,Native,"1,502.97","1,062,097","47,098",0,"'-",0%,0.032,0.00,4.43%,1.42,0.00,0%,
Deloitte Monitor Institute_Custom Content,49385492,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Deloitte Monitor Institute_Custom Content,49392968,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Duplicate of Test_J&J_8723246,49994247,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Edge of Reason - Desktop - Dec 2024,43624956,Native,"1,882.50","2,278,597","3,115",24,78.437,0.77%,0.604,0.00,0.14%,0.83,0.00,0%,
Edge of Reason - Mobile - Dec 2024,43624952,Native,"2,768.03","627,745","10,131",98,28.245,0.97%,0.273,0.00,1.61%,4.41,0.00,0%,
J & J,48803517,Native,0.00,0,0,0,"'-",0%,0.000,0.00,0%,0.00,0.00,0%,
Johnson & Johnson Campaign - 5/30,45202070,Native,"4,780.02","4,023,217","28,303",1,"4,780.021",0%,0.169,0.00,0.7%,1.19,0.00,0%,
